n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
4,2,2,4.0,8,0.03735948486478447,0.0320145744180832,0.03560014699963063,0.1875,0.03863397240638733,2.609999895095825,2.549205742776394,0.9767072203973406,True
4,2,3,6.0,9,0.047123473994895,0.03665659422776497,0.04360865715922768,1.2222222222222223,0.044105344348483615,2.499000072479248,2.4866275787353516,0.9950490222548806,True
4,2,4,8.0,8,0.04166567847799799,0.034288220364726965,0.04832185828927345,0.125,0.04388360679149628,2.2760000228881836,2.2512922286987305,0.9891442030136276,True
4,2,5,10.0,8,0.06691198163010174,0.042730292337297957,0.03538164520973559,0.375,0.04681990668177605,1.9759999513626099,1.914664626121521,0.9689598548831981,True
5,0,1,0.0,7,0.06593588693217786,0.045475315232878954,0.030683660884012386,1.2857142857142858,0.0671053443636213,2.8450000286102295,2.823565289378166,0.9924658210838282,True
5,0,2,4.0,8,0.038898583799992364,0.031134562732584935,0.035129944318492354,0.1875,0.03932899981737137,2.609999895095825,2.5479285791516304,0.976217885655541,True
5,0,3,6.0,9,0.048297845549907514,0.03570960727852358,0.04134112908068678,1.2222222222222223,0.04748029841317071,2.499000072479248,2.4863522052764893,0.9949388287971473,True
5,0,4,8.0,8,0.04100675132326563,0.03238461536391911,0.044360164094296065,0.125,0.04210326820611954,2.2760000228881836,2.25115966796875,0.989085960162728,True
5,0,5,10.0,8,0.06489441979800649,0.043098919247595145,0.03142042181129504,0.375,0.0401659719645977,1.9759999513626099,1.922071099281311,0.972708070137294,True
5,1,1,0.0,7,0.06593588693217786,0.045475315232878954,0.030683660884012386,1.2857142857142858,0.0671053443636213,2.8450000286102295,2.823565289378166,0.9924658210838282,True
5,1,2,4.0,8,0.038898583799992364,0.031134562732584935,0.035129944318492354,0.1875,0.03932899981737137,2.609999895095825,2.5479285791516304,0.976217885655541,True
5,1,3,6.0,9,0.048297845549907514,0.03570960727852358,0.04134112908068678,1.2222222222222223,0.04748029841317071,2.499000072479248,2.4863522052764893,0.9949388287971473,True
5,1,4,8.0,8,0.04100675132326563,0.03238461536391911,0.044360164094296065,0.125,0.04210326820611954,2.2760000228881836,2.25115966796875,0.989085960162728,True
5,1,5,10.0,8,0.06489441979800649,0.043098919247595145,0.03142042181129504,0.375,0.0401659719645977,1.9759999513626099,1.922071099281311,0.972708070137294,True
