analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius
seed_jitter,original,5,0,1,11.420207023620605,0.17914025485515594,0.07766521722078323,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,5,0,2,11.658703804016113,0.4715432822704315,0.07766521722078323,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,5,0,3,11.966592788696289,0.12754999101161957,0.07766521722078323,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,5,0,4,12.793309211730957,0.07133398950099945,0.07766521722078323,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,5,0,5,14.010451316833496,0.15043242275714874,0.07766521722078323,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,5,1,1,11.419254302978516,0.17964062094688416,0.07782158628106117,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,5,1,2,11.65565299987793,0.4701082706451416,0.07782158628106117,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,5,1,3,11.96316146850586,0.12813329696655273,0.07782158628106117,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,5,1,4,12.791422843933105,0.07142681628465652,0.07782158628106117,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,5,1,5,14.007067680358887,0.15069091320037842,0.07782158628106117,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,5,2,1,11.419184684753418,0.18019777536392212,0.07773690447211265,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,5,2,2,11.65793514251709,0.46980705857276917,0.07773690447211265,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,5,2,3,11.964402198791504,0.12824732065200806,0.07773690447211265,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,5,2,4,12.794191360473633,0.07170025259256363,0.07773690447211265,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,5,2,5,14.011641502380371,0.1500476449728012,0.07773690447211265,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,5,3,1,11.419771194458008,0.17878611385822296,0.07772305086255074,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,5,3,2,11.657132148742676,0.471371591091156,0.07772305086255074,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,4,,
