analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius,anchor_channel,anchor_energy_v,anchor_weight,matched_channel,energy_delta_v,matching_method
noise_perturbation,replicate_003,4,1,3,12.524490356445312,0.09444128721952438,0.08368101418018341,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,3.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.06920909881591797,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,1,4,13.948570251464844,0.1611553132534027,0.08368101418018341,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,3.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.01614856719970703,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,2,1,11.414783477783203,0.24152560532093048,0.08374488651752472,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,3.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.08546829223632812,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,2,2,11.640100479125977,0.5020430684089661,0.08374488651752472,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,3.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.09915542602539062,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,2,3,12.518762588500977,0.09482060372829437,0.08374488651752472,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,3.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.0749368667602539,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,2,4,13.942754745483398,0.16161072254180908,0.08374488651752472,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,3.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.021964073181152344,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,0,1,11.501949310302734,0.380562961101532,0.0836135670542717,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,4.0,nan,1,11.500251770019531,0.3593961000442505,1,0.001697540283203125,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,0,2,11.733233451843262,0.3819953501224518,0.0836135670542717,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,4.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.006022453308105469,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,0,3,12.618593215942383,0.08503064513206482,0.0836135670542717,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,4.0,nan,3,12.59369945526123,0.08622404932975769,3,0.024893760681152344,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,0,4,13.955093383789062,0.15241099894046783,0.0836135670542717,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,4.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.009625434875488281,minimum_total_absolute_energy_delta
